iter	Passed	Remaining
0	0	68
1	1	70
2	2	70
3	2	67
4	3	68
5	4	67
6	4	66
7	5	64
8	6	65
9	7	66
10	8	66
11	8	64
12	9	64
13	10	63
14	10	62
15	11	61
16	12	61
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	55
25	19	54
26	19	53
27	20	52
28	20	51
29	21	50
30	22	49
31	22	48
32	23	48
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	27	43
39	28	42
40	29	42
41	30	41
42	30	41
43	31	39
44	31	39
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	26
61	42	26
62	46	27
63	47	26
64	49	26
65	50	25
66	52	26
67	53	25
68	54	24
69	55	23
70	56	23
71	58	22
72	60	22
73	60	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	13
83	68	13
84	69	12
85	70	11
86	70	10
87	72	9
88	72	9
89	74	8
90	74	7
91	75	6
92	76	5
93	76	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	80	0
