iter	Passed	Remaining
0	0	788
1	1	731
2	2	717
3	2	734
4	3	775
5	4	760
6	5	734
7	5	734
8	6	722
9	7	700
10	7	694
11	8	679
12	8	675
13	9	683
14	10	706
15	11	702
16	12	699
17	12	695
18	13	693
19	14	691
20	14	683
21	15	676
22	16	681
23	17	700
24	17	697
25	18	689
26	19	685
27	19	683
28	20	676
29	20	670
30	21	666
31	21	661
32	22	663
33	23	662
34	24	663
35	24	663
36	25	658
37	25	654
38	26	649
39	26	645
40	27	641
41	27	637
42	28	634
43	29	640
44	30	639
45	30	637
46	31	636
47	32	634
48	32	634
49	33	630
50	33	629
51	34	626
52	34	625
53	35	624
54	36	622
55	36	620
56	37	618
57	37	616
58	38	616
59	39	613
60	39	610
61	40	608
62	40	606
63	41	608
64	42	608
65	43	609
66	43	608
67	44	607
68	44	606
69	45	603
70	45	601
71	46	599
72	47	598
73	47	598
74	48	598
75	49	597
76	49	596
77	50	594
78	50	592
79	51	592
80	52	590
81	52	589
82	52	584
83	53	582
84	54	584
85	54	583
86	55	582
87	56	581
88	56	579
89	57	578
90	57	577
91	58	576
92	58	575
93	59	573
94	60	576
95	61	575
96	61	574
97	62	574
98	63	573
99	63	572
100	64	571
101	64	570
102	65	568
103	65	567
104	66	568
105	67	567
106	67	566
107	68	565
108	69	564
109	69	563
110	70	563
111	70	561
112	71	560
113	72	560
114	72	560
115	73	559
116	73	557
117	74	556
118	75	555
119	75	555
120	76	553
121	76	552
122	77	550
123	77	549
124	78	550
125	79	549
126	79	548
127	80	547
128	81	547
129	81	546
130	82	545
131	82	544
132	83	542
133	83	540
134	84	539
135	84	539
136	85	539
137	86	539
138	87	539
139	87	538
140	88	537
141	88	535
142	89	533
143	89	532
144	90	530
145	90	529
146	91	529
147	91	528
148	92	528
149	93	528
150	93	528
151	94	527
152	95	526
153	95	525
154	96	524
155	96	523
156	97	522
157	97	522
158	98	521
159	99	521
160	99	519
161	100	520
162	101	520
163	101	518
164	102	517
165	102	516
166	103	515
167	104	515
168	104	515
169	105	515
170	106	514
171	106	513
172	107	513
173	107	512
174	108	511
175	108	510
176	109	510
177	110	509
178	110	508
179	111	508
180	112	507
181	112	507
182	113	506
183	114	506
184	114	505
185	115	504
186	115	504
187	116	504
188	117	504
189	118	504
190	119	504
191	119	503
192	120	502
193	120	502
194	121	501
195	122	500
196	122	500
197	123	500
198	124	500
199	124	499
200	125	499
201	126	498
202	126	498
203	127	498
204	128	498
205	129	498
206	129	497
207	130	497
208	131	497
209	132	497
210	132	496
211	133	495
212	133	494
213	134	494
214	135	493
215	135	492
216	136	491
217	137	491
218	137	491
219	138	490
220	139	490
221	139	489
222	140	489
223	141	489
224	142	489
225	142	489
226	143	488
227	143	487
228	144	486
229	145	485
230	145	484
231	146	483
232	146	482
233	147	481
234	147	481
235	148	480
236	149	480
237	149	480
238	150	479
239	150	478
240	151	476
241	151	475
242	152	474
243	152	473
244	153	474
245	154	473
246	155	473
247	155	472
248	156	472
249	157	472
250	157	471
251	158	470
252	159	469
253	160	470
254	160	469
255	161	469
256	162	468
257	162	468
258	163	467
259	164	467
260	164	466
261	165	465
262	165	464
263	166	465
264	167	464
265	168	464
266	169	464
267	169	463
268	170	462
269	170	462
270	171	461
271	172	462
272	173	462
273	174	461
274	174	461
275	175	460
276	176	460
277	176	459
278	177	458
279	178	458
280	179	458
281	179	457
282	180	457
283	181	456
284	181	455
285	182	455
286	183	455
287	183	454
288	184	454
289	185	454
290	186	454
291	187	453
292	187	452
293	188	452
294	188	451
295	189	451
296	190	450
297	190	449
298	191	449
299	192	449
300	193	448
301	193	447
302	194	447
303	195	446
304	195	445
305	196	445
306	197	444
307	197	444
308	198	443
309	198	442
310	199	442
311	200	441
312	200	440
313	201	439
314	201	439
315	202	438
316	203	437
317	203	437
318	204	436
319	205	436
320	205	435
321	206	434
322	207	433
323	207	433
324	208	432
325	208	431
326	209	431
327	210	430
328	210	429
329	211	429
330	212	428
331	212	428
332	213	427
333	214	426
334	214	426
335	215	425
336	216	425
337	216	424
338	217	424
339	218	423
340	218	422
341	219	421
342	219	420
343	220	420
344	220	419
345	221	419
346	222	418
347	223	418
348	224	418
349	224	417
350	225	416
351	225	415
352	226	415
353	227	414
354	227	414
355	228	413
356	229	412
357	229	412
358	230	411
359	231	410
360	231	409
361	232	409
362	232	408
363	233	407
364	234	407
365	234	406
366	235	406
367	236	405
368	236	404
369	237	403
370	237	403
371	238	402
372	238	401
373	239	401
374	240	400
375	240	399
376	241	399
377	242	398
378	242	397
379	243	397
380	244	396
381	244	396
382	245	395
383	246	395
384	247	394
385	247	393
386	248	393
387	248	392
388	249	391
389	250	391
390	250	390
391	251	389
392	251	388
393	252	388
394	253	388
395	254	387
396	254	386
397	255	386
398	255	385
399	256	384
400	257	384
401	257	383
402	258	382
403	258	381
404	259	381
405	260	380
406	260	379
407	261	379
408	261	378
409	262	377
410	263	377
411	263	376
412	264	375
413	265	375
414	266	375
415	266	374
416	267	374
417	268	373
418	268	372
419	269	372
420	270	371
421	270	370
422	271	370
423	272	370
424	273	369
425	273	368
426	274	368
427	274	367
428	275	366
429	276	365
430	276	365
431	277	364
432	278	364
433	278	363
434	279	362
435	280	362
436	280	361
437	281	360
438	281	360
439	282	359
440	282	358
441	283	358
442	284	357
443	285	357
444	285	356
445	286	355
446	287	355
447	287	354
448	288	354
449	289	353
450	290	353
451	291	353
452	292	352
453	292	352
454	293	352
455	294	351
456	295	350
457	295	350
458	296	349
459	297	349
460	298	348
461	298	348
462	299	347
463	300	346
464	300	346
465	301	345
466	302	345
467	303	344
468	304	344
469	305	343
470	305	343
471	306	342
472	307	342
473	307	341
474	308	341
475	309	341
476	310	340
477	311	340
478	312	339
479	312	338
480	313	338
481	313	337
482	314	336
483	315	336
484	316	335
485	316	335
486	317	334
487	318	333
488	319	333
489	319	333
490	320	332
491	321	332
492	322	331
493	323	331
494	323	330
495	324	329
496	325	329
497	326	328
498	326	328
499	327	327
500	328	326
501	328	326
502	329	325
503	330	325
504	330	324
505	331	323
506	332	322
507	332	322
508	333	321
509	334	321
510	335	320
511	335	320
512	336	319
513	337	318
514	337	318
515	338	317
516	338	316
517	339	316
518	340	315
519	341	315
520	342	314
521	342	313
522	343	313
523	343	312
524	344	311
525	345	311
526	346	310
527	346	310
528	347	309
529	348	308
530	348	308
531	349	307
532	349	306
533	350	305
534	351	305
535	351	304
536	352	304
537	353	303
538	354	303
539	354	302
540	355	301
541	356	301
542	356	300
543	357	299
544	358	299
545	359	299
546	360	298
547	361	297
548	361	297
549	362	296
550	363	296
551	364	296
552	365	295
553	366	294
554	367	294
555	367	293
556	368	292
557	368	292
558	369	291
559	370	291
560	371	290
561	372	290
562	372	289
563	373	288
564	374	288
565	374	287
566	375	286
567	376	286
568	376	285
569	377	285
570	378	284
571	379	283
572	380	283
573	380	282
574	381	282
575	382	281
576	383	281
577	384	280
578	385	280
579	386	279
580	386	278
581	387	278
582	388	277
583	389	277
584	390	277
585	391	276
586	392	275
587	392	275
588	393	274
589	394	274
590	395	273
591	396	273
592	396	272
593	397	271
594	398	271
595	399	270
596	399	269
597	400	269
598	401	268
599	402	268
600	403	267
601	403	266
602	404	266
603	405	265
604	405	265
605	406	264
606	407	263
607	408	263
608	409	262
609	409	261
610	410	261
611	411	260
612	411	259
613	412	259
614	412	258
615	413	257
616	414	257
617	415	256
618	415	256
619	416	255
620	417	254
621	418	254
622	418	253
623	419	252
624	420	252
625	421	251
626	421	251
627	422	250
628	423	249
629	423	248
630	424	248
631	425	247
632	425	246
633	426	246
634	427	245
635	428	245
636	428	244
637	429	243
638	430	242
639	430	242
640	431	241
641	432	241
642	433	240
643	433	239
644	434	239
645	435	238
646	435	237
647	436	237
648	436	236
649	437	235
650	437	234
651	438	234
652	439	233
653	439	232
654	440	231
655	440	231
656	441	230
657	442	229
658	442	229
659	443	228
660	443	227
661	444	227
662	445	226
663	446	225
664	446	225
665	447	224
666	448	223
667	448	223
668	449	222
669	449	221
670	450	220
671	451	220
672	451	219
673	452	218
674	453	218
675	454	217
676	454	216
677	455	216
678	455	215
679	456	214
680	457	214
681	458	213
682	458	212
683	459	212
684	459	211
685	460	210
686	461	210
687	462	209
688	463	209
689	464	208
690	464	207
691	465	207
692	466	206
693	466	205
694	467	205
695	468	204
696	468	203
697	469	203
698	469	202
699	470	201
700	471	201
701	471	200
702	472	199
703	473	198
704	473	198
705	474	197
706	475	196
707	476	196
708	476	195
709	477	195
710	478	194
711	478	193
712	479	192
713	479	192
714	480	191
715	480	190
716	481	190
717	482	189
718	483	188
719	483	188
720	484	187
721	485	186
722	485	186
723	486	185
724	486	184
725	487	183
726	488	183
727	488	182
728	489	181
729	490	181
730	490	180
731	491	179
732	491	179
733	492	178
734	493	177
735	493	177
736	494	176
737	494	175
738	495	174
739	496	174
740	496	173
741	497	172
742	498	172
743	498	171
744	499	170
745	499	170
746	500	169
747	501	168
748	502	168
749	503	167
750	503	167
751	504	166
752	504	165
753	505	164
754	505	164
755	507	163
756	508	163
757	508	162
758	509	161
759	510	161
760	510	160
761	511	159
762	511	159
763	512	158
764	513	157
765	514	157
766	515	156
767	516	155
768	516	155
769	517	154
770	517	153
771	518	153
772	518	152
773	519	151
774	520	151
775	521	150
776	521	149
777	522	149
778	522	148
779	523	147
780	523	146
781	524	146
782	524	145
783	525	144
784	526	144
785	526	143
786	527	142
787	528	142
788	528	141
789	529	140
790	529	140
791	530	139
792	531	138
793	532	138
794	532	137
795	533	136
796	534	136
797	534	135
798	535	134
799	535	133
800	536	133
801	536	132
802	537	131
803	537	131
804	538	130
805	539	129
806	539	129
807	540	128
808	541	127
809	541	127
810	542	126
811	542	125
812	543	124
813	543	124
814	544	123
815	545	122
816	545	122
817	546	121
818	546	120
819	547	120
820	548	119
821	548	118
822	549	118
823	549	117
824	550	116
825	551	116
826	551	115
827	552	114
828	553	114
829	553	113
830	554	112
831	554	112
832	555	111
833	555	110
834	556	109
835	557	109
836	557	108
837	558	107
838	559	107
839	559	106
840	560	105
841	560	105
842	561	104
843	561	103
844	562	103
845	563	102
846	563	101
847	564	101
848	565	100
849	566	99
850	566	99
851	567	98
852	567	97
853	567	97
854	568	96
855	569	95
856	570	95
857	570	94
858	571	93
859	572	93
860	572	92
861	573	91
862	574	91
863	574	90
864	575	89
865	576	89
866	577	88
867	577	87
868	578	87
869	579	86
870	579	85
871	580	85
872	580	84
873	581	83
874	582	83
875	582	82
876	583	81
877	584	81
878	584	80
879	585	79
880	586	79
881	586	78
882	587	77
883	588	77
884	589	76
885	589	75
886	590	75
887	591	74
888	591	73
889	592	73
890	593	72
891	594	71
892	595	71
893	595	70
894	596	70
895	597	69
896	597	68
897	598	67
898	599	67
899	599	66
900	600	66
901	601	65
902	602	64
903	602	64
904	603	63
905	604	62
906	604	62
907	605	61
908	606	60
909	606	60
910	607	59
911	608	58
912	608	58
913	609	57
914	610	56
915	610	55
916	611	55
917	611	54
918	612	53
919	613	53
920	614	52
921	614	52
922	615	51
923	616	50
924	616	50
925	617	49
926	618	48
927	619	48
928	619	47
929	620	46
930	621	46
931	621	45
932	622	44
933	623	44
934	623	43
935	624	42
936	625	42
937	625	41
938	626	40
939	627	40
940	628	39
941	628	38
942	629	38
943	629	37
944	631	36
